role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_locked_FNR,0.5
primary,test,bursty,60,9,attack_sweep_bursty,2048,B5_locked_J,0.006666666666666654
primary,test,bursty,60,9,attack_sweep_bursty,65536,entropy_AP,0.5
primary,test,bursty,60,9,attack_sweep_bursty,65536,unique_ratio_AP,0.5
primary,test,bursty,60,9,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_locked_attack_alert,0.5066666666666667
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.5066666666666667
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_locked_FNR,0.4933333333333333
primary,test,bursty,60,9,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,entropy_AP,0.525256938174303
primary,test,bursty,60,13,attack_sweep_bursty,2048,unique_ratio_AP,0.6624898677030475
primary,test,bursty,60,13,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_locked_attack_alert,0.4666666666666667
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.4533333333333333
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_locked_FNR,0.5333333333333333
primary,test,bursty,60,13,attack_sweep_bursty,2048,B5_locked_J,0.013333333333333364
primary,test,bursty,60,13,attack_sweep_bursty,65536,entropy_AP,0.5017864140994395
primary,test,bursty,60,13,attack_sweep_bursty,65536,unique_ratio_AP,0.5119453924914675
primary,test,bursty,60,13,attack_sweep_bursty,65536,B2_attack_alert,1.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B2_benign_trigger,1.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B2_FNR,0.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_initial_FNR,0.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_locked_attack_alert,0.47333333333333333
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.4666666666666667
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_locked_FNR,0.5266666666666666
primary,test,bursty,60,13,attack_sweep_bursty,65536,B5_locked_J,0.006666666666666654
primary,test,bursty,60,18,attack_sweep_bursty,2048,entropy_AP,0.5406190421863302
primary,test,bursty,60,18,attack_sweep_bursty,2048,unique_ratio_AP,0.6895655730137218
primary,test,bursty,60,18,attack_sweep_bursty,2048,B2_attack_alert,1.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B2_benign_trigger,1.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B2_FNR,0.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_initial_FNR,0.0
primary,test,bursty,60,18,attack_sweep_bursty,2048,B5_initial_J,0.0
