level_samples_per_window,behavior,run_idx,seed,decisions,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean
18,random2048,15,22060874,300,300,29,29,207,300,1.000000,0.096667,0.096667,0.690000,1.000000,4.1002,4.5850,17.670,1.0000
18,random2048,16,22060875,300,300,27,27,215,300,1.000000,0.090000,0.090000,0.716667,1.000000,4.1043,4.6439,17.840,0.9948
18,random2048,17,22060876,300,300,33,33,218,300,1.000000,0.110000,0.110000,0.726667,1.000000,4.1690,4.6439,18.480,0.9976
18,random2048,18,22060877,300,300,43,43,234,300,1.000000,0.143333,0.143333,0.780000,1.000000,4.1889,4.7004,18.763,0.9973
18,random2048,19,22060878,300,300,48,48,219,300,1.000000,0.160000,0.160000,0.730000,1.000000,4.1882,4.6818,18.893,0.9952
18,sequential,0,22070866,300,300,51,51,250,300,1.000000,0.170000,0.170000,0.833333,1.000000,4.2547,4.7004,19.540,1.0000
18,sequential,1,22070867,300,300,49,49,233,300,1.000000,0.163333,0.163333,0.776667,1.000000,4.1947,4.9069,18.963,1.0000
18,sequential,2,22070868,300,300,31,31,242,300,1.000000,0.103333,0.103333,0.806667,1.000000,4.1922,4.7004,18.617,1.0000
18,sequential,3,22070869,300,300,55,55,235,300,1.000000,0.183333,0.183333,0.783333,1.000000,4.2208,4.8074,19.193,1.0000
18,sequential,4,22070870,300,300,15,15,222,300,1.000000,0.050000,0.050000,0.740000,1.000000,4.1396,4.5266,18.033,1.0000
18,sequential,5,22070871,300,300,49,49,220,300,1.000000,0.163333,0.163333,0.733333,1.000000,4.1836,4.7549,18.737,1.0000
18,sequential,6,22070872,300,300,24,24,248,300,1.000000,0.080000,0.080000,0.826667,1.000000,4.1837,4.6439,18.500,1.0000
18,sequential,7,22070873,300,300,97,97,236,300,1.000000,0.323333,0.323333,0.786667,1.000000,4.3025,4.8580,20.447,1.0000
18,sequential,8,22070874,300,300,19,19,225,300,1.000000,0.063333,0.063333,0.750000,1.000000,4.1548,4.5850,18.310,1.0000
18,sequential,9,22070875,300,300,91,91,255,300,1.000000,0.303333,0.303333,0.850000,1.000000,4.3215,4.9069,20.547,1.0000
18,sequential,10,22070876,300,300,43,43,218,300,1.000000,0.143333,0.143333,0.726667,1.000000,4.1543,4.6439,18.340,1.0000
18,sequential,11,22070877,300,300,108,108,226,300,1.000000,0.360000,0.360000,0.753333,1.000000,4.3055,4.9069,20.567,1.0000
18,sequential,12,22070878,300,300,17,17,218,300,1.000000,0.056667,0.056667,0.726667,1.000000,4.0999,4.5850,17.530,1.0000
18,sequential,13,22070879,300,300,55,55,233,300,1.000000,0.183333,0.183333,0.776667,1.000000,4.2267,4.7004,19.163,1.0000
18,sequential,14,22070880,300,300,80,80,248,300,1.000000,0.266667,0.266667,0.826667,1.000000,4.3044,4.7549,20.283,1.0000
18,sequential,15,22070881,300,300,73,73,249,300,1.000000,0.243333,0.243333,0.830000,1.000000,4.2714,4.7549,19.783,1.0000
