split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,200,0,14642148752032785582,7402025104951184599,17347881150132568762,ec72c975b8945209a2feb7958048efedf11c9d19c5e3c903e1410254e8d1c6e4,2d764eaa9ac30b2c71c6aaaccff200bf33cc53f1a58103644ff6155497329f70,30,1336,1336,0,6.2352347500690755,13.485234750069075,193.83333333333334,258.55,7.463272435065024,0.9589021807858711,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_00.jsonl.gz,007eec59fee1156a427e1b41d2dd4f3f330f8aaece2476b212da3553fef39358
calibration,bursty,benign_bursty,benign,200,1,6583253704384485558,17873357037308705727,1490485179396484131,d2d9b10cf08151e7e34066ffe63e5f117e6f77f0837bdc4f064f3e30c7671eb7,35537303ca3811451d939f308b8f32dce30d5e6b44012782c6c5cd02257ee773,30,1333,1333,0,6.178977170458247,13.428977170458246,205.6,277.84999999999997,7.535865662867898,0.9576802534613597,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_01.jsonl.gz,4c8b792460647c52699a3c95feb5713e74209199dce2d42bd4a7a9a7c865e3c2
calibration,bursty,benign_bursty,benign,200,2,13460932717458733837,3042682407150864359,6006403065273457278,6e580415d0535a799d235940e5bc6d754201194b6b93ed445ca67876ac4f07c8,b3f9fa6ac34f4c9b8748a2cf0791eed714302c683850146c69245232302a5bb0,30,1437,1437,0,6.202172910677312,13.452172910677312,203.86666666666667,293.29999999999995,7.521262455602169,0.956213635034502,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_02.jsonl.gz,11059d09b5eedd58cb4b7747ab8965d9a8c5bb6ec57ed90edbf979ca713bac69
calibration,bursty,benign_bursty,benign,200,3,9570378081210666891,11401857593803639954,11053876387694794345,448c26c94cd25315d38c15ebf8ccf06a734c700f61bee351439513587e25db12,98df9414b807e905a3392a6e43bc4a7079077ea545d089fe865e0f2a3e9b1b0a,30,1293,1293,0,6.159072512414016,13.409072512414017,205.2,277.24999999999994,7.521979658684346,0.9542601134499006,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_03.jsonl.gz,e1cf57804f07b59f0199b510458087c06047470181d36007bd3972836c596b6d
calibration,bursty,benign_bursty,benign,200,4,13085897464229949975,1047424868033865888,5095245327114929968,1fb1c9b9079cbd104462260a43fc481a94f2c7eab97fcdcfc04a62aa3a80cdab,a5b36973902db4a51b3c72615c04e04e05c866ccb36dc2b145b9af2656fd5453,30,1309,1309,0,6.196609080672674,13.446609080672674,197.03333333333333,288.9,7.476751876979806,0.9619931321157513,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_04.jsonl.gz,19b8a42c4e4169303eea8b9ada3aa8095ee31fc3385ebdf290faaf96a336af18
calibration,bursty,benign_bursty,benign,200,5,5041337691770345748,7495431414313827446,13716082839119151746,9ad1bef7b1f30de771385b24153e75c6accfcafec73aa7c290c06742bbbecdbb,96073c68bdb9e1f4f863eb2d7c8ad473b72ec5026eaa76365429f6e21d10399d,30,1324,1324,0,6.190705720931055,13.440705720931055,208.7,284.1,7.532606493777828,0.9390603914319675,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_05.jsonl.gz,1e33e0460bd5fa1cd06131a78eeac4897786498447890a805330b714126b13f2
calibration,bursty,benign_bursty,benign,200,6,14936018274771237347,16418368104697234739,10003734408023992240,49bf0a71dad882bce0bb61a2688faec2e75f55e716ca5f8d3b6b953d1b58a85a,1c190781a362359aa840214fc8a01c733ad8692f05812fa6e07ab1b647e29938,30,1248,1248,0,6.216728720460314,13.466728720460313,199.2,295.95,7.460108098313685,0.9446472921318642,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_06.jsonl.gz,47b0927119d8b92b6cdb69ec849cd88ca657a19eaaa5b4070793e80321fd8693
calibration,bursty,benign_bursty,benign,200,7,915961973140900674,16164984643938357476,10902143838978445768,51f3b2edd3ce6bdcb0781ca18e18ea5bad7c4f1e3b88af78a9980d0a8e379970,a3edda21080350dcc7744fad061e732a0e1d9b795959c7ed15b5c305eb071542,30,1349,1349,0,6.096013490471646,13.346013490471645,194.96666666666667,290.9,7.456513453061267,0.9617858666126694,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_07.jsonl.gz,bc1c04d178f44edbbc4c78c0fb097a0d76da0860ac2e20b2371d5e0809817942
calibration,bursty,benign_bursty,benign,200,8,11840118907126105473,12258675552247700409,9528029876072093986,a42aa9483f669c7c17771f91e35e21244016c5f407d6e98eff62596d95b37f10,2fd4f7ee999992f708e59126d3d7d64392259e37429c4284ec0adbb26abe25cd,30,1451,1451,0,6.113935746593916,13.363935746593917,209.0,287.65,7.56356728808039,0.9584007868909358,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_08.jsonl.gz,f9bfeb5b78128ab64164cbadde2ef7fd9c6d4480e62a35ba94d313a84509bbf7
calibration,bursty,benign_bursty,benign,200,9,10951519743782940705,3630892124890015163,13651538599588445557,24c541375ec1548394f1650b18c908e3425ed86fa9c591e108f8b127af06c30a,b0faf580bad6351415f9e34761bf1a6dd6c438729b85ac90e1212bc5778f098f,30,1225,1225,0,6.031979503274211,13.281979503274211,201.43333333333334,267.55,7.502631083715812,0.95321454789034,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_200/pair_09.jsonl.gz,8adf1e744134583747351c27fab9f430c0442dbdaa9e4fa934f7f21620f94354
