role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,continuous,24,attack_sweep_continuous,65536,B5_locked_attack_alert,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,65536,B5_locked_benign_trigger,0.0,0.0,0.0,6
primary,continuous,24,attack_sweep_continuous,65536,entropy_AP,0.500802146340137,0.5,0.5024064390204109,6
primary,continuous,24,attack_sweep_continuous,65536,unique_ratio_AP,0.5019908987485779,0.5,0.5059726962457338,6
primary,continuous,60,attack_sweep_continuous,2048,B2_FNR,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,2048,B2_J,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,2048,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,2048,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,2048,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,2048,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,2048,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,2048,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,2048,B5_locked_FNR,0.6955555555555556,0.6255555555555555,0.75,6
primary,continuous,60,attack_sweep_continuous,2048,B5_locked_J,0.05000000000000001,0.035555555555555556,0.07111111111111111,6
primary,continuous,60,attack_sweep_continuous,2048,B5_locked_attack_alert,0.30444444444444446,0.25,0.3744444444444444,6
primary,continuous,60,attack_sweep_continuous,2048,B5_locked_benign_trigger,0.2544444444444444,0.1877777777777778,0.3333333333333333,6
primary,continuous,60,attack_sweep_continuous,2048,entropy_AP,0.544511029383611,0.537555610430671,0.5520736300932831,6
primary,continuous,60,attack_sweep_continuous,2048,unique_ratio_AP,0.6691325499611818,0.6328750773514479,0.7118707296089539,6
primary,continuous,60,attack_sweep_continuous,65536,B2_FNR,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,65536,B2_J,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,65536,B2_attack_alert,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,65536,B2_benign_trigger,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,65536,B5_initial_FNR,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,65536,B5_initial_J,0.0,0.0,0.0,6
primary,continuous,60,attack_sweep_continuous,65536,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,65536,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,continuous,60,attack_sweep_continuous,65536,B5_locked_FNR,0.6822222222222223,0.6133333333333333,0.7411111111111112,6
primary,continuous,60,attack_sweep_continuous,65536,B5_locked_J,0.0022222222222222227,-0.002222222222222218,0.007777777777777777,6
primary,continuous,60,attack_sweep_continuous,65536,B5_locked_attack_alert,0.31777777777777777,0.26111111111111107,0.38888888888888884,6
primary,continuous,60,attack_sweep_continuous,65536,B5_locked_benign_trigger,0.31555555555555553,0.25555555555555554,0.38888888888888884,6
